latitude;price;bathrooms;Součet hodnot: accommodates;Součet hodnot: beds;Součet hodnot: host_response_rate;Součet hodnot: bedrooms;longitude
-22.960348217354245;$4,201.00;8;160;1;1;7;-43.26912502711169
-22.801200221077508;$1,195.00;5,5;16;7;0;4;-43.203338111162985
-22.811788032557903;$699.00;2;16;1;0;0;-43.29930822412674
-22.829505277562014;$61.00;1,5;16;1;1;2;-43.331259607538364
-22.87483547309647;$61.00;2;16;16;1;20;-43.33452652919111
-22.883598683101585;$1,541.00;4;16;3;0;3;-43.56398146238458
-22.888274122382807;$99.00;3,5;16;3;1;3;-43.28938783042711
-22.888927039273977;$99.00;3,5;16;3;1;3;-43.29066568627645
-22.89633557658258;$61.00;8;16;16;1;4;-43.18204140953778
-22.897738435763312;$44.00;8;16;1;1;1;-43.181855127293765
-22.89961257129352;$209.00;8;16;16;0,5;10;-43.547905760361964
-22.900004915288783;$401.00;1;16;1;1;0;-43.18184092248442
-22.90672537958128;$68.00;4;16;16;1;1;-43.260397043873816
-22.907014884804074;$68.00;4;16;16;1;1;-43.270768910686705
-22.90895536858679;$92.00;20;16;50;1;45;-43.18817333220982
-22.911071440089607;$181.00;5;16;21;0,67;2;-43.20830673037601
-22.914353479620424;$65.00;6,5;16;36;1;1;-43.227568918785856
-22.9145931340459;$482.00;2;16;6;0,7;3;-43.231861538181455
-22.914948858446724;$5,563.00;7;16;9;1;7;-43.18412091243282
-22.915162049321616;$499.00;5,5;16;16;0,6;5;-43.182519642002
-22.915469089724663;$697.00;1,5;16;16;1;3;-43.18153787623929
-22.915984303836925;$799.00;7;16;27;0;9;-43.18667368940024
-22.916061088890274;$249.00;1,5;16;16;1;2;-43.1811748234574
-22.916298900268266;$365.00;3;16;15;1;3;-43.18745569660577
-22.91632325220084;$673.00;6;16;10;0,86;7;-43.182409198862686
-22.917218808979765;$99.00;2;16;19;0,75;6;-43.19084592738953
-22.917984961877096;$902.00;6,5;16;27;1;9;-43.18447229498307
-22.918482409019184;$120.00;1;16;1;1;0;-43.16920478051155
-22.918547622932937;$1,701.00;4;16;11;1;5;-43.18707845019921
-22.919738545477532;$591.00;2;16;16;0,67;4;-43.18130035801265
-22.92010756917511;$801.00;3,5;16;10;0,75;7;-43.174115579179876
-22.920626235438405;$41.00;1;16;8;0;1;-43.20919804070468
-22.921185643126673;$30,736.00;7;16;8;0;9;-43.18539360186043
-22.92146207378343;$2,500.00;2;16;11;1;7;-43.1804456366518
-22.92190443948668;$253.00;6;16;6;1;6;-43.188429269510465
-22.922469434811163;$2,599.00;8;16;16;0,67;10;-43.18784197919219
-22.92269905848436;$3,299.00;5;16;16;1;6;-43.183365164741204
-22.923129278939175;$335.00;4;16;16;0,86;4;-43.180910244898705
-22.9231750791505;$79.00;3;16;16;0,3;4;-43.17579296227619
-22.923345746850956;$150.00;3;16;13;0,67;3;-43.23247857372906
-22.92490853653445;$79.00;3;16;16;0,67;1;-43.231316421103074
-22.927942425338156;$167.00;5;16;7;1;1;-43.19341791406303
-22.92854412444802;$167.00;5;16;7;1;1;-43.19478262863695
-22.928731709565017;$167.00;5;16;7;1;1;-43.194120286337075
-22.928748692491084;$168.00;5;16;10;1;7;-43.19341175995508
-22.929263095421476;$61.00;1;16;1;0,84;1;-43.18830849340479
-22.93060736558996;$3,999.00;8;16;16;0,4;8;-43.18865693414582
-22.932628305882435;$61.00;7;16;10;0,5;1;-43.57465913842532
-22.933384501771375;$3,644.00;6,5;16;27;1;9;-43.1996524066635
-22.93397061921518;$1,798.00;2,5;16;22;1;6;-43.200924766916216
-22.93565868034117;$171.00;1;16;16;1;1;-43.23957471896081
-22.937702289972;$1,199.00;1;16;1;0;0;-43.51594651898705
-22.93777370659277;$99.00;6;16;16;0,8;5;-43.181031895746116
-22.937981486050433;$201.00;8;16;8;1;8;-43.21012824262889
-22.938527977669533;$4,399.00;6;16;16;0;6;-43.19725580050047
-22.93877310925451;$1,000.00;4;16;15;0,9;7;-43.19407774587719
-22.939225349959216;$973.00;1;16;1;1;0;-43.18079745178299
-22.93988056399624;$1,445.00;1;16;1;1;0;-43.18265182495336
-22.94062230339492;$2,236.00;3,5;16;12;1;4;-43.18089643921384
-22.941419127980446;$6,000.00;4,5;16;16;0,8;6;-43.205172241071075
-22.941924299035804;$700.00;4,5;16;14;1;5;-43.186982105287704
-22.94194438177229;$1,001.00;6;16;16;1;5;-43.20369444945907
-22.942227855834645;$1,800.00;3;16;5;1;4;-43.15996386673178
-22.942621945291652;$1,500.00;7;16;16;0,7;9;-43.59397782894324
-22.94299056952653;$1,800.00;7;16;16;1;10;-43.192657776285095
-22.9430194838426;$314.00;3;16;16;1;3;-43.34665321458896
-22.9528073880699;$41.00;8;16;16;0,25;1;-43.192751328911974
-22.95344771036862;$44.00;8;16;12;0,8;3;-43.19363109233164
-22.953470512303735;$99.00;6;16;16;1;1;-43.1730005540837
-22.954731492794924;$51.00;8;16;16;0,7;1;-43.194017413536145
-22.95480332331421;$700.00;3,5;16;11;0,98;6;-43.19118989369803
-22.956194656419477;$1,100.00;4;16;16;1;0;-43.18911051162901
-22.959076399052417;$2,500.00;7;16;11;0;5;-43.62624816330728
-22.961250889191323;$488.00;3;16;10;1;4;-43.17507444335521
-22.961479689040708;$199.00;8;16;16;0;1;-43.48899713358959
-22.962054763937022;$798.00;5;16;16;1;5;-43.330111460253136
-22.96244790528429;$751.00;3,5;16;13;0,67;6;-43.175476307248665
-22.96304853153579;$51.00;2;16;3;1;2;-43.5892758938939
-22.96350423807433;$5,000.00;2;16;2;1;2;-43.39969659395187
-22.963643564114996;$14,999.00;8;16;6;1;4;-43.28464062651549
-22.964191504790904;$1,591.00;4,5;16;12;1;5;-43.196272021807964
-22.964283838108415;$1,025.00;2,5;16;14;1;6;-43.17523526792346
-22.96441674205041;$953.00;5;16;8;1;4;-43.17710923825291
-22.964433186089515;$826.00;4;16;7;1;4;-43.176980444832395
-22.96491810825874;$13,660.00;12;16;11;0,97;11;-43.175191614474365
-22.96539328569309;$738.00;2,5;16;11;1;4;-43.177489578807574
-22.965575639311783;$2,070.00;7,5;16;16;1;7;-43.17563964757561
-22.966513704082278;$3,424.00;6,5;16;11;0,67;8;-43.56661769746837
-22.96693859879946;$5,000.00;4,5;16;12;1;6;-43.19766217621914
-22.967582085570143;$120.00;12;16;50;1;11;-43.33773283581714
-22.967635456174577;$85.00;2;16;14;1;4;-43.187360553305304
-22.967729192574428;$68.00;3;16;16;1;0;-43.49296393034217
-22.967770585025008;$85.00;2;16;12;1;4;-43.18856641663858
-22.96785464026452;$99.00;2;16;16;1;4;-43.187380019633196
-22.969181318514092;$3,244.00;4;16;11;1;7;-43.18647356298556
-22.969228975250623;$181.00;3,5;16;12;1;5;-43.185724047201056
-22.969570766972442;$55.00;7;16;16;0,57;6;-43.42253650840701
-22.97034430164603;$68.00;7;16;12;0,57;8;-43.422923680046665
-22.972096747584878;$1,800.00;8;16;16;0,71;10;-43.33667575947798
-22.974019303174337;$89.00;8;16;16;0,4;1;-43.48413299328564
-22.97467729831339;$871.00;4;16;8;1;6;-43.189110666604236
-22.974689895297658;$14,999.00;3;16;16;1;4;-43.19034988294937
-22.974812193573456;$1,001.00;4;16;5;0;5;-43.27694536034709
