Latitude,Longitude,VIC_AGE_GROUP,Součet hodnot: Community Districts,OCCUR_TIME,PERP_AGE_GROUP
40.516572,-74.196874,18-24,15,1899-12-30 02:15:00,(null)
40.527587,-74.191658,<18,15,1899-12-30 13:57:00,(null)
40.535616,-74.165917,25-44,15,1899-12-30 19:48:00,25-44
40.57200642,-73.98931656,18-24,21,1899-12-30 02:00:00,25-44
40.57200642,-73.98931656,25-44,42,1899-12-30 02:00:00,25-44
40.572196,-73.994815,25-44,84,1899-12-30 23:57:00,(null)
40.572196,-73.994815,45-64,84,1899-12-30 23:57:00,(null)
40.57278637,-73.99596126,<18,21,1899-12-30 15:05:00,18-24
40.57278637,-73.99596126,<18,21,1899-12-30 15:05:00,25-44
40.57305383,-73.98078894,18-24,21,1899-12-30 21:45:00,<18
40.57305383,-73.98078894,18-24,21,1899-12-30 21:45:00,18-24
40.574062,-73.9962,25-44,21,1899-12-30 22:30:00,(null)
40.574619,-73.99197,25-44,21,1899-12-30 21:41:00,<18
40.574818,-73.990926,<18,21,1899-12-30 19:03:00,<18
40.576947,-74.002691,25-44,21,1899-12-30 00:19:00,18-24
40.576947,-74.002691,25-44,21,1899-12-30 22:35:00,18-24
40.576947,-74.002691,45-64,21,1899-12-30 22:35:00,18-24
40.58037949,-73.96760006,<18,21,1899-12-30 13:05:00,<18
40.58097687,-74.00401402,18-24,21,1899-12-30 03:25:00,18-24
40.58262,-73.986223,18-24,21,1899-12-30 15:37:00,25-44
40.58485539,-73.94987033,25-44,32,1899-12-30 03:25:00,(null)
40.585767,-73.953434,25-44,32,1899-12-30 14:45:00,(null)
40.585939,-74.159871,25-44,30,1899-12-30 06:00:00,25-44
40.5859433449759,-73.8161019228725,18-24,51,1899-12-30 22:18:00,18-24
40.586037,-73.813046,25-44,51,1899-12-30 12:40:00,18-24
40.587391,-73.812603,18-24,51,1899-12-30 23:10:00,18-24
40.589785,-73.789414,25-44,51,1899-12-30 19:30:00,(null)
